house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
Wow! Lovely Brand new Entire space in midtown,Entire home,Toronto,$99 ,189 reviews,4.86,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n322 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy self contained unit - Downtown Toronto,Entire home,Toronto,$60 ,129 reviews,4.91,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n129 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Condo Heart of Toronto Downtown,Entire home,Toronto,$119 ,218 reviews,4.77,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n318 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Private Room in Downtown Toronto RM3,Graeme is a Superhost,Toronto,$45 ,232 reviews,4.78,"['1 guest', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n931 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Dryer', 'Washer', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy 1BR APT Downtown 5 mins walk Eaton Centre,Entire home,Toronto,$50 ,54 reviews,4.8,"['4 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n440 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"YOUR LUXURY GUEST SUITE, MINUTES TO DOWNTOWN",Entire home,Toronto,$65 ,70 reviews,4.71,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n70 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Oasis: Retreat, Relax, Restore",Sparkling clean,York,$43 ,219 reviews,4.77,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n605 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
TOTALLY PRIVATE ONEBEDROOM TORONTO APARTMENT,Entire home,Toronto,$58 ,70 reviews,4.55,"['5 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n650 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cottage feel in the heart of the city 1,Aina is a Superhost,Toronto,$44 ,155 reviews,4.81,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n247 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'Iron', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
LUXURY LIVING IN THE HEART OF DOWNTOWN TORONTO,Entire home,Toronto,$69 ,113 reviews,4.34,"['4 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n215 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
