"The Westin Prince Toronto, Toronto",HOTEL,$170 CAD,,See all 792 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.755079', '-79.350433']"
"Hyatt Regency Toronto, Toronto",HOTEL,$171 CAD,,See all 945 Hotels.com reviews,Superb9.0,"1 room, 1 adult","['43.646077', '-79.392299']"
"Comfort Inn Pickering, Pickering",HOTEL,$94 CAD,,See all 493 Hotels.com reviews,Good6.6,"1 room, 1 adult","['43.813571', '-79.122811']"
"The Westin Toronto Airport, Toronto",HOTEL,$127 CAD,,See all 421 Hotels.com reviews,Very Good8.2,"1 room, 1 adult","['43.686713', '-79.598546']"
"Four Points by Sheraton Toronto Mississauga, Mississauga",HOTEL,$116 CAD,,See all 372 Hotels.com reviews,Good7.6,"1 room, 1 adult","['43.657474', '-79.650566']"
"Holiday Inn Express Toronto East - Scarborough, Toronto",HOTEL,$131 CAD,,See all 552 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.782705', '-79.236002']"
"Days Inn by Wyndham Toronto West Mississauga, Mississauga",HOTEL,$114 CAD,,See all 672 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.626422', '-79.629361']"
"Park Hyatt Toronto, Toronto",HOTEL,,,See all 180 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.668756', '-79.394161']"
"Holiday Inn Toronto Airport East, Toronto",HOTEL,$103 CAD,,See all 351 Hotels.com reviews,Good7.2,"1 room, 1 adult","['43.691346', '-79.572735']"
"Quality Suites Oakville, Oakville",HOTEL,$93 CAD,,See all 340 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.407702', '-79.737874']"
"DoubleTree by Hilton Hotel Toronto Downtown, Toronto",HOTEL,$158 CAD,,"See all 2,601 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.654675', '-79.385815']"
"Hilton Toronto Airport Hotel & Suites, Mississauga",HOTEL,$123 CAD,,"See all 1,654 Hotels.com reviews",8.0,"1 room, 1 adult","['43.686138', '-79.605052']"
"Best Western Plus Toronto North York Hotel & Suites, Toronto",HOTEL,$104 CAD,,See all 991 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.757317', '-79.527788']"
"Sheraton Centre Toronto Hotel, Toronto",HOTEL,$151 CAD,,"See all 2,349 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.651294', '-79.384486']"
